Company,Tasks,Cards,Tests,Challenges,Lessons,Languages,Grades,Rating,Ratings_Count,Rating_GP,Ratings_Count_GP,Instagram,Installs_GP,Founded,Instagram_Handle,Achievements,Extras,Note
Zerdeli App,69311,73166,8205,725,67,каз,1-11,4.58,45,3.9,53,2113,10000,2025,zerdeli.app,,Челленджи с призами; Z-коины за тренинги; Обмен Z-коинов на игрушки и мерч,"Наполнение — данные команды Зерделі на 12.08.2026: 69 311 вопросов, 73 166 карточек, 8 205 тестов и квизов, 725 челленджей, 67 тренингов. Оценка — App Store KZ. Язык взят из описания в App Store, уточните наличие русского. ЗАПОЛНИТЬ: достижения и награды Z-коины — внутренняя валюта: начисляются за тренинги, тратятся на игрушки и мерч Зерделі (данные команды). Год — первый релиз в App Store 01.05.2025; если проект стартовал раньше, поправьте."
Qalan,40000,,,,1000,каз; рус; азерб; узб,1-11,2.82,165,2.8,895,393000,100000,2018,qalan.kz,,ИИ-наставник; Менторы и AI-чат; Дуэли и лиги; Монеты и алмазы; Кэшбэк до 100 ₸ в день; Прогресс для родителей,40 000+ видеообъяснений к заданиям и 1 000+ видеолекций — сайт qalan.kz (12.08.2026). Ежедневно ученику даётся 10-15 заданий. Оценки — App Store и Google Play Платформа запущена осенью 2018 (digitalbusiness.kz); приложение Qalan Math — октябрь 2023.
iTest.kz,60000,,,,,каз; рус,4;9;11,2.83,243,2.3,2240,2681,500000,2016,itest.kz,,16 предметов; конспекты лекций; работа над ошибками,~60 000 вопросов по 16 предметам — описание в App Store. В статье BilimLand 2015 г. фигурировали 16 000 вопросов Приложение в App Store с 05.05.2016; BilimLand ТОО работает с 2011.
BilimLand,140000,,,,45000,каз; рус; англ,1-11,4.29,15949,4.4,,,,,,,Экосистема OnlineMektep / BilimClass,"140 000+ интерактивных заданий и 45 000+ уроков — по публикациям об экосистеме BilimLand. Оценка — приложение OnlineMektep (не тот же продукт, что тариф в Raw_Prices)"
Bilim Plus,,,,,,каз; рус,School;student;teacher,,,,,,,,,,,Сайт bilimplus.kz не открылся при проверке 12.08.2026; публичных цифр не нашёл
Daryn.online,,,,,,каз; рус,10-11,,,4.5,214,31000,10000,2018,daryn.online,,500+ курсов; крупнейший курс — 1 870 уроков,"Единого числа заданий не публикует; на сайте 500+ курсов и 400 000+ пользователей (daryn.online, 12.08.2026) Проект начат в конце 2018, основатель Айбек Куатбаев. Приложение Daryn.online (Bugin Holding) в Google Play: 4,5★, 214 отзывов, 10 тыс.+ установок (12.08.2026)."
Dostyq Online,,,,,,каз; рус,10-11,,,,,14000,,,dostyqonline,,,"Числа уроков и заданий не публикует (dostyq.online, проверено 12.08.2026) Android-приложения не нашёл: в Google Play по запросу выдаётся «Dostyq — кошелёк для бонусов» другой компании."
AIPLUS,,,,,,каз; рус,10-11,,,3.7,344,193000,10000,2015,aiplus.kz,,,"Публичных цифр по объёму контента не нашёл; приложения в App Store нет Год по копирайту на сайте (2015). Приложение Aiplus Mobile в Google Play: 3,7★, 344 отзыва, 10 тыс.+ установок (12.08.2026)."
TopIQ,,,,,,каз; рус,1-11,,,,,,,,,,,Публичных цифр не нашёл
Khan Academy,80000,,,,10000,англ,K-12+,4.57,109665,4.1,,,,2008,,,Бесплатно,80 000+ упражнений и 10 000+ видео — публичные данные Khan Academy
Prodigy Math,50000,,,,,англ,1-8,4.76,238709,4.7,,,,2011,,,1 500+ навыков; игровой мир,"50 000+ вопросов, 1 500+ навыков — prodigygame.com"
IXL,15000,,,,,англ,PreK-12,4.35,203945,4.0,,,,1998,,,Аналитика для родителей,15 000+ навыков — описание в App Store (на сайте фигурирует 8 500+)
Beast Academy,20000,,,,1000,англ,Ages 6-13,,,,,,,2012,,,1 000+ видеоуроков; Puzzle Lab,20 000+ задач и 1 000+ уроков — beastacademy.com. Оценку в App Store не проверял
SplashLearn,4000,,,,,англ,PreK-5,4.51,31962,4.6,,,,2010,,,4 000+ обучающих игр,4 000+ игр — описание в App Store
Brilliant,,,,,,англ,Grade 5+,4.74,31625,,,,,2012,,,Новые курсы каждый месяц,Число уроков не публикует. Оценка — App Store
Mathletics,,,,,,англ,K-12,,,,,,,2005,,,,Публикует только «thousands of activities» без точного числа (3plearning.com)
Skysmart,,,,,,рус,School,,,,,,,,,,,Не в дашборде (рынок РФ), не проверял
Foxford,,,,,,рус,5-8,,,,,,,,,,,Не в дашборде (рынок РФ), не проверял
